film_id,title,description,backdrop_path,poster_path,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,https://image.tmdb.org/t/p/w500/ke8MuTHVveodT0YQxV1TcTh4BXd.jpg,https://image.tmdb.org/t/p/w500/6D4yLH2gMBt8S64f8Arrt39cFFb.jpg,2006,1,NULL,6,0.99,86,20.99
2,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,https://image.tmdb.org/t/p/w500/fGkWeQouNXjC0QS8fBb8MiznQS6.jpg,https://image.tmdb.org/t/p/w500/geBGfbhkgKHld8rM9XuLfzPGZ6I.jpg,2006,1,NULL,3,4.99,48,12.99
3,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,https://image.tmdb.org/t/p/w500/8HJnWvD85rxr0PC65YbWckjPvhM.jpg,https://image.tmdb.org/t/p/w500/k43wPAVeepqzGwP52dKcknQjquj.jpg,2006,1,NULL,7,2.99,50,18.99
4,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,https://image.tmdb.org/t/p/w500/zwgje2ruELJGHEZcSwq287o5Qo3.jpg,https://image.tmdb.org/t/p/w500/bjELwweoUlLSk9DtOS3MXBJVLTX.jpg,2006,1,NULL,5,2.99,117,26.99
5,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,https://image.tmdb.org/t/p/w500/eKRKdTPXzgUlDNhWF00bCz9wGM1.jpg,https://image.tmdb.org/t/p/w500/7sbLeFbRxSNXHc1ZO4zxFy3sIgc.jpg,2006,1,NULL,6,2.99,130,22.99
6,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,https://image.tmdb.org/t/p/w500None,https://image.tmdb.org/t/p/w500/y114dTPoqn8k2Txps4P2tI95YCS.jpg,2006,1,NULL,3,2.99,169,17.99
7,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,https://image.tmdb.org/t/p/w500/cYeGgYKWhqfDZxnXZKWqJSjqg3.jpg,https://image.tmdb.org/t/p/w500/kAmRKToJVhfF6ObKnZ0hOYxL40L.jpg,2006,1,NULL,6,4.99,62,28.99
8,AIRPORT POLLOCK,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,https://image.tmdb.org/t/p/w500/wTcPEs307cPVYQ6lPXSjQEG416R.jpg,https://image.tmdb.org/t/p/w500/5ePaCimd7cA9zYNib8WfIbWnrCf.jpg,2006,1,NULL,6,4.99,54,15.99
9,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,https://image.tmdb.org/t/p/w500/nMKfeFtE9bML6yjdcymrt5vtaNz.jpg,https://image.tmdb.org/t/p/w500/otptPbEY0vBostmo95xwiiumMJm.jpg,2006,1,NULL,3,2.99,114,21.99
10,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,https://image.tmdb.org/t/p/w500/dMqbyB5GQvDujXiKdKPhWT0VTRw.jpg,https://image.tmdb.org/t/p/w500/yaA8q2zHHUgFWdJNxXyAdU71SzM.jpg,2006,1,NULL,6,4.99,63,24.99
11,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,https://image.tmdb.org/t/p/w500/2C8rRez1AjfXBGvjbv8EWf7TBlq.jpg,https://image.tmdb.org/t/p/w500/xcIV6b0kMCvL6jD5bqLYrkO85Zi.jpg,2006,1,NULL,6,0.99,126,16.99
12,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,https://image.tmdb.org/t/p/w500/aJ4s9UjVdmkmsnx9NHpmdUqZxlz.jpg,https://image.tmdb.org/t/p/w500/em45jL4CfTMyj5V83kj7rhdorJu.jpg,2006,1,NULL,6,0.99,136,22.99
